Sample;groupe.x;study.day.x;Abundance.x;OTU;sample;collection;groupe.y;phase;stald;hold;sti;study.day.y;Lysis
S1.384;1;54;162;sp17;S1.384;23.05.2022;1;3;13;1;68;54;FP
S2.175;2;8;154;sp17;S2.175;19.05.2022;2;1;11;31;37;8;FP
S2.180;2;8;149;sp17;S2.180;05.05.2022;2;1;9;26;24;8;FP
S1.321;1;8;148;sp17;S1.321;05.05.2022;1;1;9;26;22;8;FP
S2.205;2;15;146;sp17;S2.205;25.05.2022;2;2;11;34;47;15;FP
S2.201;2;15;145;sp17;S2.201;12.05.2022;2;2;9;23;13;15;FP
S1.289;1;1;144;sp17;S1.289;12.05.2022;1;1;11;33;45;1;FP
S3.82;3;29;144;sp17;S3.82;19.05.2022;3;3;8;20;6;29;FP
S1.284;1;1;141;sp17;S1.284;05.05.2022;1;1;10;28;29;1;FP
S2.198;2;15;137;sp17;S2.198;05.05.2022;2;2;8;20;5;15;FP
S2.261;2;54;137;sp17;S2.261;23.05.2022;2;3;13;1;67;54;FP
S2.209;2;15;137;sp17;S2.209;19.05.2022;2;2;10;30;35;15;FP
S2.181;2;8;135;sp17;S2.181;05.05.2022;2;1;9;25;20;8;FP
S1.328;1;8;134;sp17;S1.328;19.05.2022;1;1;11;33;45;8;FP
S1.294;1;1;132;sp17;S1.294;31.03.2022;1;1;13;3;74;1;FP
S1.396;1;15;131;sp17;S1.396;05.05.2022;1;2;8;20;4;15;FP
S2.234;2;29;127;sp17;S2.234;09.06.2022;2;3;11;34;47;29;FP
S2.138;2;1;120;sp17;S2.138;21.04.2022;2;1;8;20;5;1;FP
S1.410;1;15;120;sp17;S1.410;19.05.2022;1;2;10;27;25;15;FP
S2.174;2;8;114;sp17;S2.174;13.04.2022;2;1;14;12;101;8;FP
S3.15;3;1;112;sp17;S3.15;12.05.2022;3;1;11;33;44;1;FP
S2.232;2;29;111;sp17;S2.232;09.06.2022;2;3;11;32;40;29;FP
S3.65;3;15;108;sp17;S3.65;21.04.2022;3;2;14;8;88;15;FP
S1.275;1;1;107;sp17;S1.275;21.04.2022;1;1;8;19;3;1;FP
S3.58;3;15;107;sp17;S3.58;13.04.2022;3;1;13;2;72;15;FP
S1.308;1;8;106;sp17;S1.308;05.05.2022;1;1;9;23;14;8;FP
S3.13;3;1;104;sp17;S3.13;12.05.2022;3;1;11;31;38;1;FP
S3.34;3;8;104;sp17;S3.34;07.04.2022;3;1;13;6;83;8;FP
S2.235;2;29;101;sp17;S2.235;05.05.2022;2;3;14;12;101;29;FP
S3.35;3;8;101;sp17;S3.35;07.04.2022;3;1;13;5;79;8;FP
S2.220;2;29;100;sp17;S2.220;19.05.2022;2;3;8;20;5;29;FP
S2.141;2;1;99;sp17;S2.141;28.04.2022;2;1;9;23;13;1;FP
S2.169;2;8;98;sp17;S2.169;13.04.2022;2;1;14;11;99;8;FP
S1.280;1;1;98;sp17;S1.280;28.04.2022;1;1;9;24;17;1;FP
S1.315;1;8;94;sp17;S1.315;13.04.2022;1;1;14;10;96;8;FP
S3.54;3;15;93;sp17;S3.54;13.04.2022;3;1;13;6;83;15;FP
S3.32;3;8;91;sp17;S3.32;13.04.2022;3;1;14;12;102;8;FP
S2.216;2;15;87;sp17;S2.216;21.04.2022;2;2;14;8;90;15;FP
S2.274;2;54;87;sp17;S2.274;23.05.2022;2;3;13;4;77;54;FP
S1.354;1;29;87;sp17;S1.354;09.06.2022;1;3;11;33;45;29;FP
S2.172;2;8;86;sp17;S2.172;13.04.2022;2;1;14;8;90;8;FP
S1.296;1;1;85;sp17;S1.296;31.03.2022;1;1;13;5;80;1;FP
S1.326;1;8;84;sp17;S1.326;07.04.2022;1;1;13;4;76;8;FP
S3.74;3;15;84;sp17;S3.74;25.05.2022;3;2;11;32;38;15;FP
S3.12;3;1;84;sp17;S3.12;05.05.2022;3;1;10;30;34;1;FP
S1.366;1;54;82;sp17;S1.366;27.06.2022;1;3;10;30;36;54;FP
S1.401;1;15;81;sp17;S1.401;21.04.2022;1;2;14;8;89;15;FP
S2.236;2;29;80;sp17;S2.236;28.04.2022;2;3;13;1;67;29;FP
S3.17;3;1;75;sp17;S3.17;07.04.2022;3;1;14;12;102;1;FP
S3.64;3;15;74;sp17;S3.64;05.05.2022;3;2;8;20;6;15;FP
S1.278;1;1;73;sp17;S1.278;21.04.2022;1;1;8;22;12;1;FP
S2.258;2;54;71;sp17;S2.258;13.06.2022;2;3;8;19;2;54;FP
S3.127;3;54;70;sp17;S3.127;27.06.2022;3;3;10;28;28;54;FP
S2.241;2;29;67;sp17;S2.241;28.04.2022;2;3;13;6;82;29;FP
S3.18;3;1;66;sp17;S3.18;31.03.2022;3;1;13;1;69;1;FP
S3.3;3;1;62;sp17;S3.3;21.04.2022;3;1;8;21;8;1;FP
S1.352;1;29;61;sp17;S1.352;09.06.2022;1;3;11;31;39;29;FP
S2.230;2;29;60;sp17;S2.230;02.06.2022;2;3;10;30;35;29;FP
S3.16;3;1;59;sp17;S3.16;12.05.2022;3;1;11;34;46;1;FP
S1.357;1;29;59;sp17;S1.357;28.04.2022;1;3;13;2;70;29;FP
S3.27;3;1;59;sp17;S3.27;07.04.2022;3;1;14;10;95;1;FP
S1.395;1;15;56;sp17;S1.395;21.04.2022;1;2;14;11;97;15;FP
S1.349;1;29;55;sp17;S1.349;02.06.2022;1;3;10;28;29;29;FP
S3.95;3;29;54;sp17;S3.95;09.06.2022;3;3;11;33;44;29;FP
S2.243;2;29;49;sp17;S2.243;05.05.2022;2;3;14;11;99;29;FP
S2.269;2;54;46;sp17;S2.269;30.05.2022;2;3;14;9;93;54;FP
S3.25;3;1;45;sp17;S3.25;07.04.2022;3;1;14;8;88;1;FP
S2.186;2;8;42;sp17;S2.186;07.04.2022;2;1;13;3;75;8;FP
S2.199;2;15;42;sp17;S2.199;05.05.2022;2;2;8;21;9;15;FP
S3.2;3;1;42;sp17;S3.2;21.04.2022;3;1;8;20;6;1;FP
S2.185;2;8;41;sp17;S2.185;07.04.2022;2;1;13;4;77;8;FP
S2.238;2;29;41;sp17;S2.238;28.04.2022;2;3;13;3;75;29;FP
S3.60;3;15;41;sp17;S3.60;05.05.2022;3;2;8;19;1;15;FP
S1.325;1;15;41;sp17;S1.325;13.04.2022;1;1;13;1;68;15;FP
S1.358;1;29;40;sp17;S1.358;28.04.2022;1;3;13;3;74;29;FP
S2.245;2;29;40;sp17;S2.245;05.05.2022;2;3;14;9;93;29;FP
S3.37;3;8;39;sp17;S3.37;07.04.2022;3;1;13;4;78;8;FP
S2.270;2;54;39;sp17;S2.270;30.05.2022;2;3;14;8;90;54;FP
S1.415;1;29;39;sp17;S1.415;05.05.2022;1;3;14;8;89;29;FP
S2.249;2;54;38;sp17;S2.249;27.06.2022;2;3;10;28;30;54;FP
S1.313;1;8;37;sp17;S1.313;13.04.2022;1;1;14;9;91;8;FP
S1.297;1;1;36;sp17;S1.297;07.04.2022;1;1;14;7;87;1;FP
S3.21;3;1;36;sp17;S3.21;31.03.2022;3;1;13;4;78;1;FP
S2.242;2;29;34;sp17;S2.242;28.04.2022;2;3;13;5;81;29;FP
S3.92;3;29;34;sp17;S3.92;02.06.2022;3;3;10;30;34;29;FP
S2.142;2;1;31;sp17;S2.142;28.04.2022;2;1;9;25;20;1;FP
S3.88;3;29;31;sp17;S3.88;25.05.2022;3;3;9;26;23;29;FP
S3.104;3;29;31;sp17;S3.104;05.05.2022;3;3;14;7;86;29;FP
S3.94;3;29;31;sp17;S3.94;09.06.2022;3;3;11;32;41;29;FP
S1.302;1;1;31;sp17;S1.302;31.03.2022;1;1;13;6;84;1;FP
S3.108;3;29;30;sp17;S3.108;28.04.2022;3;3;13;4;78;29;FP
S2.226;2;29;29;sp17;S2.226;25.05.2022;2;3;9;24;24;29;FP
S1.363;1;29;29;sp17;S1.363;05.05.2022;1;3;14;7;87;29;FP
S2.219;2;29;29;sp17;S2.219;19.05.2022;2;3;8;19;2;29;FP
S3.4;3;1;29;sp17;S3.4;21.04.2022;3;1;8;22;10;1;FP
S2.139;2;1;28;sp17;S2.139;21.04.2022;2;1;8;21;9;1;FP
S2.244;2;29;27;sp17;S2.244;05.05.2022;2;3;14;10;94;29;FP
S1.362;1;29;25;sp17;S1.362;28.04.2022;1;3;13;5;80;29;FP
S2.140;2;1;25;sp17;S2.140;21.04.2022;2;1;8;22;11;1;FP
